# niche-harvest M1 inheritance candidates — sourced from booker/data/fb_conditioner.sqlite (2026-04-24)
# Commissioned by Narvest 2026-04-24T20:38Z for niche-harvest M1 starting inventory.
# Ranking formula: (events_synced × 3) + events_produced − days_since_last_event / 30 − (consecutive_empty_scrapes × 2)
#
# Recommendation tiers:
#   NOT_A_FB_GROUP — aggregator-source markers (source-tm, source-nyt, v21_batch_import). Skip; not actually FB groups.
#   YES — events_synced >= 5 OR (events_produced >= 8 AND last_event within 90d). Inherit into M1.
#   MAYBE — events_synced >= 1 OR events_produced >= 3. Manual review before inherit.
#   NO — everything else (scraped-zero, never-scraped, flagged not_fb_group). Leave in Booker SQLite for archival; don't inherit.
#
# Counts: NOT_A_FB_GROUP=3 YES=11 MAYBE=83 NO=282
#
# Booker ranking thresholds are advisory. Tune on niche-harvest side after manual scan of YES + MAYBE tiers.
#
rec,score,fb_group_id,name,url,events_synced,events_produced,future_events,last_event_date,days_since_last_event,last_scraped_at,consecutive_empty_scrapes,activity_level,scrape_priority,reason
NO,-35.30,441845562522805,BERLIN TANGO PARTNER POOL,https://www.facebook.com/groups/441845562522805/,0,0,0,,,2026-04-16 23:27:38,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1369034623163306,Tango Festival en Tokyo,https://www.facebook.com/groups/1369034623163306/,0,0,0,,,2026-04-16 23:28:18,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,centralparktango,Central Park Tango,https://www.facebook.com/groups/centralparktango/,0,0,0,,,2026-04-16 23:32:02,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,822648081189281,Argentine Tango in Westchester,https://www.facebook.com/groups/822648081189281/,0,0,0,,,2026-04-16 23:32:48,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,754661114560785,Argentine Tango in New Jersey,https://www.facebook.com/groups/754661114560785/,0,0,0,,,2026-04-16 23:33:29,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,NewYorkTango,Tango NYC & NYS,https://www.facebook.com/groups/NewYorkTango/,0,0,0,,,2026-04-16 23:34:09,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,LeandroPalouTangoAcademy,London Tango Academy,https://www.facebook.com/groups/LeandroPalouTangoAcademy/,0,0,0,,,2026-04-16 23:34:47,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,616847508438699,tango argentin à Paris bals milonga,https://www.facebook.com/groups/616847508438699/,0,0,0,,,2026-04-16 23:37:55,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,134112799960763,Tango Argentin Queer à Paris,https://www.facebook.com/groups/134112799960763/,0,0,0,,,2026-04-16 23:39:19,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,797120440317612,Partenaire Tango Paris,https://www.facebook.com/groups/797120440317612/,0,0,0,,,2026-04-16 23:43:13,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1594536430808752,OC - LA Tango,https://www.facebook.com/groups/1594536430808752/,0,0,0,,,2026-04-16 23:48:06,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,64821716179,Orange County Tango community,https://www.facebook.com/groups/64821716179/,0,0,0,,,2026-04-16 23:48:49,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,42208194152,University of Chicago Argentine Tango Club,https://www.facebook.com/groups/42208194152/,0,0,0,,,2026-04-16 23:49:27,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,179251142619451,All Seattle Tango Announcements,https://www.facebook.com/groups/179251142619451/,0,0,0,,,2026-04-16 23:53:04,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,532229563557506,Seattle Tango Magic Festival,https://www.facebook.com/groups/532229563557506/,0,0,0,,,2026-04-16 23:55:17,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,135170723480826,TangoAffair Argentine Tango in Boston,https://www.facebook.com/groups/135170723480826/,0,0,0,,,2026-04-16 23:55:57,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1776008539136058,Tango Denver,https://www.facebook.com/groups/1776008539136058/,0,0,0,,,2026-04-16 23:56:33,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,austintangolab,Austin Tango Lab,https://www.facebook.com/groups/austintangolab/,0,0,0,,,2026-04-16 23:57:11,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,queertangopdx,Queer Tango PDX,https://www.facebook.com/groups/queertangopdx/,0,0,0,,,2026-04-16 23:59:10,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,TangoPhiladelphia,Tango Philadelphia,https://www.facebook.com/groups/TangoPhiladelphia/,0,0,0,,,2026-04-17 00:00:32,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,138608140034966,Philadelphia Tango Nomads,https://www.facebook.com/groups/138608140034966/,0,0,0,,,2026-04-17 00:01:07,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,utangoclub,"UTango, University of Minnesota Argentine Tango Club",https://www.facebook.com/groups/utangoclub/,0,0,0,,,2026-04-17 00:02:14,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,106334836733117,Plataforma Abierta de Tango en Madrid,https://www.facebook.com/groups/106334836733117/,0,0,0,,,2026-04-17 00:04:54,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tanGOTORome,tanGO TO Rome,https://www.facebook.com/groups/tanGOTORome/,0,0,0,,,2026-04-17 00:14:36,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,spqrtangomarathon,SPQR Tango Marathon Roma,https://www.facebook.com/groups/spqrtangomarathon/,0,0,0,,,2026-04-17 00:15:15,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,920089188640469,Eh! Milano Tango Fest,https://www.facebook.com/groups/920089188640469/,0,0,0,,,2026-04-17 00:17:03,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,thetangoroom,El Encuentro at The Tango Room,https://www.facebook.com/groups/thetangoroom/,0,0,0,,,2026-04-16 21:43:37,1,high,normal,scraped but 0 events produced ever
NO,-35.30,argentinetangodetroit,Argentine Tango Detroit,https://www.facebook.com/groups/argentinetangodetroit/,0,0,0,,,2026-04-16 21:48:47,1,high,normal,scraped but 0 events produced ever
NO,-35.30,tangoosu,Argentine Tango in Columbus (TangoOSU),https://www.facebook.com/groups/tangoosu/,0,0,0,,,2026-04-16 21:55:29,1,high,normal,scraped but 0 events produced ever
NO,-35.30,136756563074821,Milwaukee Tango Community,https://www.facebook.com/groups/136756563074821/,0,0,0,,,2026-04-16 21:57:54,1,high,normal,scraped but 0 events produced ever
NO,-35.30,468526566081701,Istanbul Tango Community,https://www.facebook.com/groups/468526566081701/,0,0,0,,,2026-04-16 22:08:41,1,low,normal,scraped but 0 events produced ever
NO,-35.30,seattletangosocial,Seattle Tango Social,https://www.facebook.com/groups/seattletangosocial/,0,0,0,,,2026-04-16 22:10:50,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,AlbuquerqueTangoFestival,Albuquerque Tango Festival,https://www.facebook.com/groups/AlbuquerqueTangoFestival/,0,0,0,,,2026-04-16 22:12:57,1,low,normal,scraped but 0 events produced ever
NO,-35.30,philadelphiatangoschool,Philadelphia Argentine Tango School,https://www.facebook.com/groups/philadelphiatangoschool/,0,0,0,,,2026-04-16 22:13:22,1,low,normal,scraped but 0 events produced ever
NO,-35.30,325614957522254,Portland Tango,https://www.facebook.com/groups/325614957522254/,0,0,0,,,2026-04-16 22:19:45,1,active,normal,scraped but 0 events produced ever
NO,-35.30,Argentinetangosandiego,Argentine Tango in San Diego,https://www.facebook.com/groups/Argentinetangosandiego/,0,0,0,,,2026-04-16 22:21:26,1,active,normal,scraped but 0 events produced ever
NO,-35.30,sandiegoargentinetango,San Diego Argentine Tango,https://www.facebook.com/groups/sandiegoargentinetango/,0,0,0,,,2026-04-16 22:22:02,1,active,normal,scraped but 0 events produced ever
NO,-35.30,935634376521763,Tango Indy; Argentine Tango In Indianapolis,https://www.facebook.com/groups/935634376521763/,0,0,0,,,2026-04-16 22:27:17,1,active,normal,scraped but 0 events produced ever
NO,-35.30,TangoBaltimore,Tango Baltimore,https://www.facebook.com/groups/TangoBaltimore/,0,0,0,,,2026-04-16 22:31:48,1,active,normal,scraped but 0 events produced ever
NO,-35.30,206635092720542,Tango Cincinnati,https://www.facebook.com/groups/206635092720542/,0,0,0,,,2026-04-16 22:34:03,1,active,normal,scraped but 0 events produced ever
NO,-35.30,albanytango,Albany Tango Society,https://www.facebook.com/groups/albanytango/,0,0,0,,,2026-04-16 22:34:42,1,moderate,normal,scraped but 0 events produced ever
NO,-35.30,154611381241218,Buffalo Tango Orkestra,https://www.facebook.com/groups/154611381241218/,0,0,0,,,2026-04-16 22:35:50,1,low,normal,scraped but 0 events produced ever
NO,-35.30,379178922979635,Honolulu Tango Ohana,https://www.facebook.com/groups/379178922979635/,0,0,0,,,2026-04-16 22:39:53,1,active,normal,scraped but 0 events produced ever
NO,-35.30,westernmatango,Western MA Tango,https://www.facebook.com/groups/westernmatango/,0,0,0,,,2026-04-16 22:46:49,1,active,normal,scraped but 0 events produced ever
NO,-35.30,1057887670965028,Tango School of Memphis,https://www.facebook.com/groups/1057887670965028/,0,0,0,,,2026-04-16 22:49:10,1,active,normal,scraped but 0 events produced ever
NO,-35.30,tangoboise,Tango Boise,https://www.facebook.com/groups/tangoboise/,0,0,0,,,2026-04-16 22:51:36,1,moderate,normal,scraped but 0 events produced ever
NO,-35.30,milonganueva,Milonga NUEVA,https://www.facebook.com/groups/milonganueva/,0,0,0,,,2026-04-16 22:53:22,1,active,normal,scraped but 0 events produced ever
NO,-35.30,eltangocafe,Seoul Tango - El Tango Cafe,https://www.facebook.com/groups/eltangocafe/,0,0,0,,,2026-04-16 23:00:25,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,TangoThisWeekSingapore,Tango-This Week in Singapore,https://www.facebook.com/groups/TangoThisWeekSingapore/,0,0,0,,,2026-04-16 23:02:20,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,180512225409300,THAI TANGO/Milonga BKK,https://www.facebook.com/groups/180512225409300/,0,0,0,,,2026-04-16 23:05:07,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,tangochiangmai,Tango Chiang Mai,https://www.facebook.com/groups/tangochiangmai/,0,0,0,,,2026-04-16 23:05:47,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,melbournesocialtango,Melbourne Social Tango,https://www.facebook.com/groups/melbournesocialtango/,0,0,0,,,2026-04-16 23:07:04,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,298005871143044,Gotanz Connect Australian and New Zealand Tango Directory,https://www.facebook.com/groups/298005871143044/,0,0,0,,,2026-04-16 23:08:28,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,1970104613087725,TANGO EVENTS IN ASIA,https://www.facebook.com/groups/1970104613087725/,0,0,0,,,2026-04-16 23:09:45,1,medium,normal,scraped but 0 events produced ever
NO,-35.30,1429094763992399,SAN FRANCISCO BAY AREA TANGO,https://www.facebook.com/groups/1429094763992399/,0,0,0,,,2026-04-16 23:46:09,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,156101394477882,MILONGUEANDO Barcelona,https://www.facebook.com/groups/156101394477882/,0,0,0,,,2026-04-17 00:08:38,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,brusselstangopartnersearch,Brussels Tango Partner Search,https://www.facebook.com/groups/brusselstangopartnersearch/,0,0,0,,,2026-04-17 00:37:35,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,stockholmtangomarathon,Stockholm Tango Marathon & Events,https://www.facebook.com/groups/stockholmtangomarathon/,0,0,0,,,2026-04-17 00:44:24,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,lusitango,LISBON INTERNATIONAL TANGO FESTIVAL,https://www.facebook.com/groups/lusitango/,0,0,0,,,2026-04-17 00:46:12,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,552640704759837,Lisbon TUGA TANGO Marathon,https://www.facebook.com/groups/552640704759837/,0,0,0,,,2026-04-17 00:48:37,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tangolibrebudapest,Tango Libre Budapest,https://www.facebook.com/groups/tangolibrebudapest/,0,0,0,,,2026-04-17 00:55:03,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,TangoDublinSchool,Dublin Tango School Dancers,https://www.facebook.com/groups/TangoDublinSchool,0,0,0,,,2026-04-17 00:55:42,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,469694036531295,Bray Argentine Tango Society - BATS,https://www.facebook.com/groups/469694036531295/,0,0,0,,,2026-04-17 00:56:22,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,283648775124912,IRISH TANGO,https://www.facebook.com/groups/283648775124912/,0,0,0,,,2026-04-17 00:57:01,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tangoeventsinswitzerland,TANGO EVENTS IN SWITZERLAND,https://www.facebook.com/groups/tangoeventsinswitzerland/,0,0,0,,,2026-04-17 00:58:20,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,251896038218742,Kaohsiung Tango Club,https://www.facebook.com/groups/251896038218742/,0,0,0,,,2026-04-17 01:29:13,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,twtangomarathon,Taiwan Tango Marathon,https://www.facebook.com/groups/twtangomarathon/,0,0,0,,,2026-04-17 01:29:54,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,348395265271004,Tango Bangkok Thailand,https://www.facebook.com/groups/348395265271004/,0,0,0,,,2026-04-17 01:31:33,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1563135257271497,Argentine Tango Penang @ PAT,https://www.facebook.com/groups/1563135257271497/,0,0,0,,,2026-04-17 01:33:43,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,201761873189511,Manila Argentine Tango Society,https://www.facebook.com/groups/201761873189511/,0,0,0,,,2026-04-17 01:34:25,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1986740268225457,The Manila Tango Marathon,https://www.facebook.com/groups/1986740268225457/,0,0,0,,,2026-04-17 01:35:06,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,820185474854194,Tango Melbourne Community Group,https://www.facebook.com/groups/820185474854194/,0,0,0,,,2026-04-17 01:35:45,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tangotoronto,Tango Toronto,https://www.facebook.com/groups/tangotoronto/,0,0,0,,,2026-04-17 01:38:58,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,ArgentineTangoTorontoElAbrazo,Argentine Tango Toronto El Abrazo,https://www.facebook.com/groups/ArgentineTangoTorontoElAbrazo/,0,0,0,,,2026-04-17 01:39:41,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,10430038225,Tango Vancouver,https://www.facebook.com/groups/10430038225/,0,0,0,,,2026-04-17 01:40:38,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,180504178641634,Queer Tango Montreal,https://www.facebook.com/groups/180504178641634/,0,0,0,,,2026-04-17 01:45:27,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,107857822580692,Mumbai Tango Milonga,https://www.facebook.com/groups/107857822580692/,0,0,0,,,2026-04-17 01:46:04,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,BangaloreArgentineTango,Bangalore Argentine Tango,https://www.facebook.com/groups/BangaloreArgentineTango/,0,0,0,,,2026-04-17 01:46:47,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,adtango,ABU DHABI TANGO,https://www.facebook.com/groups/adtango/,0,0,0,,,2026-04-17 01:50:38,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,WhiteNightsTangoFestival,White Nights Tango Festival in St.Petersburg,https://www.facebook.com/groups/WhiteNightsTangoFestival/,0,0,0,,,2026-04-17 01:53:59,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,603053939799591,St. Petersburg Tango Marathon,https://www.facebook.com/groups/603053939799591/,0,0,0,,,2026-04-17 01:55:20,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,474614025900252,Bucharest Tango Marathon Group,https://www.facebook.com/groups/474614025900252/,0,0,0,,,2026-04-17 02:00:14,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,bucharest.tango.society,Bucharest Tango Society,https://www.facebook.com/groups/bucharest.tango.society/,0,0,0,,,2026-04-17 02:01:08,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tsibelle,Té Sibelle: tout le tango argentin à Lyon,https://www.facebook.com/groups/tsibelle/,0,0,0,,,2026-04-17 02:01:48,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,NeoTangoLyon,Festival Neo Tango LYON,https://www.facebook.com/groups/NeoTangoLyon/,0,0,0,,,2026-04-17 02:04:08,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tango.tanzpartner.hamburg,Tango Tanzpartner Hamburg,https://www.facebook.com/groups/tango.tanzpartner.hamburg/,0,0,0,,,2026-04-17 02:08:54,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,119153464782521,Academia de Tango in Frankfurt,https://www.facebook.com/groups/119153464782521/,0,0,0,,,2026-04-17 02:11:07,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,edinburghtango,Edinburgh Tango Society,https://www.facebook.com/groups/edinburghtango/,0,0,0,,,2026-04-17 02:12:22,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,eutangosociety,Edinburgh University Tango Society,https://www.facebook.com/groups/eutangosociety/,0,0,0,,,2026-04-17 02:13:01,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tangoinmanchester,Tango in Manchester!,https://www.facebook.com/groups/tangoinmanchester/,0,0,0,,,2026-04-17 02:13:42,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1437724943126740,Tango Manchester,https://www.facebook.com/groups/1437724943126740/,0,0,0,,,2026-04-17 02:15:50,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,BirminghamTango,Sandra and Loyd - Puro Traditional Tango Birmingham,https://www.facebook.com/groups/BirminghamTango/,0,0,0,,,2026-04-17 02:16:31,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,1385186225134286,Tango Firenze,https://www.facebook.com/groups/1385186225134286/,0,0,0,,,2026-04-17 02:23:24,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,113786392441949,Naples Argentine Tango By Pablo Repun,https://www.facebook.com/groups/113786392441949/,0,0,0,,,2026-04-17 02:24:07,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,145789128778513,Bravo Tango - Kraków,https://www.facebook.com/groups/145789128778513/,0,0,0,,,2026-04-17 02:28:14,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,377620298978045,Tango en Córdoba,https://www.facebook.com/groups/377620298978045/,0,0,0,,,2026-04-17 02:30:14,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,2595763767315679,Tango y Milongas en Córdoba,https://www.facebook.com/groups/2595763767315679/,0,0,0,,,2026-04-17 02:30:50,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,59340204764,Tango Lovers Jakarta,https://www.facebook.com/groups/59340204764/,0,0,0,,,2026-04-17 02:32:26,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,377049705705310,Tangonut Events Brisbane,https://www.facebook.com/groups/377049705705310/,0,0,0,,,2026-04-17 02:35:45,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,TangoCollabWellington,Tango Collab Wellington Group,https://www.facebook.com/groups/TangoCollabWellington/,0,0,0,,,2026-04-17 02:39:07,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,165522303652907,New Orleans Tango Festival,https://www.facebook.com/groups/165522303652907/,0,0,0,,,2026-04-17 02:40:19,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,littlerocktango,Little Rock Tango,https://www.facebook.com/groups/littlerocktango/,0,0,0,,,2026-04-17 02:43:13,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,tangopulse,Western MA Tango,https://www.facebook.com/groups/tangopulse/,0,0,0,,,2026-04-17 02:45:50,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,argentinetangoinbrighton,Argentine Tango in Brighton,https://www.facebook.com/groups/argentinetangoinbrighton/,0,0,0,,,2026-04-17 02:47:26,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,Dartmouth.Argentine.Tango.Society,Dartmouth Argentine Tango Society,https://www.facebook.com/groups/Dartmouth.Argentine.Tango.Society/,0,0,0,,,2026-04-17 02:48:11,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,448838755191343,TANGO EVENTS IN EUROPE,https://www.facebook.com/groups/448838755191343/,0,0,0,,,2026-04-17 02:49:03,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,partenairetango,Trouver son partenaire de Tango Argentin,https://www.facebook.com/groups/partenairetango/,0,0,0,,,2026-04-17 02:49:44,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,282972171856,Argentine Tango Club,https://www.facebook.com/groups/282972171856/,0,0,0,,,2026-04-17 02:50:34,1,unknown,normal,scraped but 0 events produced ever
NO,-35.30,143412406102628,FRANCE TANGO ARGENTINO,https://www.facebook.com/groups/143412406102628/,0,0,0,,,2026-04-17 02:51:16,1,unknown,normal,scraped but 0 events produced ever
NO,-37.30,466828892314068,Tango in Korea,https://www.facebook.com/groups/466828892314068/,0,0,0,,,2026-04-17 01:28:16,2,medium,high,scraped but 0 events produced ever
NO,-37.30,35516277516,Milonga Nuevo Hong Kong,https://www.facebook.com/groups/35516277516/,0,0,0,,,2026-04-17 01:27:52,2,medium,high,scraped but 0 events produced ever
NO,-37.30,831329108689011,Moscow/Russia Tango Community,https://www.facebook.com/groups/831329108689011/,0,0,0,,,2026-04-17 01:53:34,2,medium,high,scraped but 0 events produced ever
